nom,prix,adresse,image_lien
Chiot Berger Allemand,125000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4141061_uploaded_image1_1679304713.jpg
Chiot Bichon,70000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4137626_uploaded_image2_1679009249.jpeg
Chiots berger allemand,150000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4135756_uploaded_image1_1678898624.jpg
Chiot Mal Bichon,250.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4134271_uploaded_image1_1678817547.jpg
Chiots Berger Allemand,100000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4131053_uploaded_image1_1678627815.jpg
Chiot  berger,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4130159_uploaded_image1_1678548295.jpg
Chiots malinois,280000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4126440_uploaded_image1_1678350608.jpg
Chienne Golden Retriever,700000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4126336_uploaded_image1_1678330762.jpg
Chienne Labrador,650000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4126334_uploaded_image1_1678330605.jpg
Chiens Rottweiler,1350000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4126333_uploaded_image1_1678330232.jpg
Chien Bichon,150000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4124637_uploaded_image1_1678229133.jpg
Chien berger allemand,140000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4121621_uploaded_image1_1678058765.jpg
Chiot bichon maltais,130000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4118672_uploaded_image1_1677860063.jpg
Chiots malinois,280000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg
Chiot Caniche bichon,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4117078_uploaded_image1_1677779647.jpg
Chiot mâle bichon,100000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4108812_uploaded_image1_1677276973.jpg
Chiot berger malinois,700000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4085335_uploaded_image1_1675814530.jpg
Chien berger allemand,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4080591_uploaded_image1_1675545771.jpg
Chiots Pitbull,100000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4078372_uploaded_image1_1675431643.jpg
Chiots Bichons,130000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4077248_uploaded_image1_1675372705.jpg
Chiots Pitbull,100000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4070065_uploaded_image1_1675021877.jpg
Chiot Golden Retriever,650000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4059349_uploaded_image1_1674300377.jpg
Chiots bergers allemands,160000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4057130_uploaded_image1_1674154040.jpg
Caniche,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chien Berger Femelle adulte,500000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4630010_uploaded_image1_1709800534.jpg
Chiot Malinois,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4618143_uploaded_image1_1709220344.jpg
Bichon,150000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4611544_uploaded_image1_1708894607.jpg
Chien Boerboel,275000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4607340_uploaded_image1_1708639477.jpg
