web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1766752681-73","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz pomperanian nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592536_uploaded_image1_1580821182.56.png"
"1766752681-74","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Spitz nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1571895_uploaded_image1_1580477105.7.png"
"1766752681-75","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Hight quality husky Sibérien","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1568103_uploaded_image1_1580413061.76.png"
"1766752681-76","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots akita américain","990 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png"
"1766752681-77","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1502366_uploaded_image1_1579392503.84.png"
"1766752681-78","https://sn.coinafrique.com/categorie/chiens?page=10","Caniches","100 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1502318_uploaded_image1_1579389696.6.png"
"1766752681-79","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1502314_uploaded_image1_1579389662.11.png"
"1766752681-80","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots husky sibérien - dog argentin - cane corso","350 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png"
"1766752681-81","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz nain","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1766752681-82","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Chowchow","990 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1444195_uploaded_image1_1578452519.81.png"
"1766752681-83","https://sn.coinafrique.com/categorie/chiens?page=10","Bebé Lhasa Apso","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_1426072_uploaded_image1_1578142225.59.png"
"1766752681-84","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Dalmatiens","450 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png"
"1766752708-85","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Labradors","650 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4287921_uploaded_image1_1688944788.jpg"
"1766752708-86","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Husky's","250 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4284697_uploaded_image1_1688724399.jpg"
"1766752708-87","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Cane Corso","350 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4283254_uploaded_image1_1688639363.jpg"
"1766752708-88","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot croisé Husky / Berger Allemand","180 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4280738_uploaded_image2_1688487016.jpeg"
"1766752708-89","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bichons","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4277694_uploaded_image1_1688305486.jpg"
"1766752708-90","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","260 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4277563_uploaded_image1_1688297196.jpg"
"1766752708-91","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4268527_uploaded_image1_1687554867.jpg"
"1766752708-92","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4268216_uploaded_image1_1687536535.jpg"
"1766752708-93","https://sn.coinafrique.com/categorie/chiens?page=5","Chien Berger Allemand","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4266819_uploaded_image1_1687451460.jpg"
"1766752708-94","https://sn.coinafrique.com/categorie/chiens?page=5","Chien berger Allemand","250 000CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_4263673_uploaded_image1_1687280336.jpg"
"1766752708-95","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Malinois","Prix sur demande","Saly, Sénégal","https://images.coinafrique.com/thumb_4260253_uploaded_image1_1687017772.jpg"
"1766752708-96","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Labrador","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4257284_uploaded_image1_1686798764.jpg"
"1766752708-97","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Malinois","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4255782_uploaded_image3_1686731484.jpeg"
"1766752708-98","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Bergers australien","650 000CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_4242936_uploaded_image1_1685941455.jpg"
"1766752708-99","https://sn.coinafrique.com/categorie/chiens?page=5","Chien  Rottweiler","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4242529_uploaded_image1_1685899419.jpg"
"1766752708-100","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Pitbull","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4240673_uploaded_image1_1685739306.jpg"
"1766752708-101","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots malinois","220 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4235508_uploaded_image1_1685447149.jpg"
"1766752708-102","https://sn.coinafrique.com/categorie/chiens?page=5","Chien","150 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4227862_uploaded_image1_1684881837.jpg"
"1766752708-103","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Pitbull","100 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_4226576_uploaded_image1_1684815976.jpg"
"1766752708-104","https://sn.coinafrique.com/categorie/chiens?page=5","Chien Berger allemand","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4221634_uploaded_image1_1684441608.jpg"
"1766752708-105","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon Maltais","190 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4220294_uploaded_image1_1684360783.jpg"
